Round,Timestamp,Player,Board Size,Cells,Prediction,Correct,Is Correct,Difference,BFS Time (ms),Dijkstra Time (ms),Dice Rolls
1,2025-12-10T21:28:21.276654,zee,8,64,3,6,No,3,0.0887,0.6528,66
2,2025-12-10T21:29:13.477167,zee,8,64,3,6,No,3,0.0954,0.1299,16
3,2025-12-10T21:29:38.538113,zee,8,64,5,6,No,1,0.1519,0.1683,54
4,2025-12-10T21:30:10.827592,zee,6,36,4,4,Yes,0,0.046,0.0768,14
5,2025-12-10T21:30:28.217184,k,6,36,3,3,Yes,0,0.1423,0.1857,29
6,2025-12-10T21:31:12.120486,j,6,36,2,4,No,2,0.1373,0.1769,31
7,2025-12-10T21:31:36.269943,chithu,6,36,4,4,Yes,0,0.1457,0.1886,17
8,2025-12-10T21:32:17.092637,ze,6,36,6,3,No,3,0.1318,0.1817,4
9,2025-12-10T21:32:36.833944,zee,6,36,3,4,No,1,0.1767,0.2191,22
10,2025-12-10T21:32:52.400092,zee,6,36,3,3,Yes,0,0.1094,0.1454,24
11,2025-12-10T21:33:15.357432,zee,6,36,4,4,Yes,0,0.1345,0.1752,7
12,2025-12-10T21:33:53.714649,zee,7,49,4,4,Yes,0,0.1643,0.2301,52
13,2025-12-10T21:34:06.688236,zee,8,64,6,6,Yes,0,0.2367,0.32,20
14,2025-12-10T21:34:19.415698,zee,8,64,3,6,No,3,0.2213,0.3111,23
15,2025-12-10T21:35:04.678240,zee,8,64,5,8,No,3,0.097,0.1252,16
